photo,name,party,constituency
https://web.archive.org/web/20240104194154im_/https://www.parliament.gov.bd/mps/011000201.jpg,মোঃ নূরুল ইসলাম সুজন,বাংলাদেশ আওয়ামী লীগ,পঞ্চগড়-২
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011000301.jpg,রমেশ চন্দ্র সেন,বাংলাদেশ আওয়ামী লীগ,ঠাকুরগাঁও-১
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011002401.jpg,ড. শিরীন শারমিন চৌধুরী,বাংলাদেশ আওয়ামী লীগ,রংপুর-৬
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011001301.jpg,আসাদুজ্জামান নূর,বাংলাদেশ আওয়ামী লীগ,নীলফামারী-২
https://images.prothomalo.com/prothomalo-bangla%2F2021-12%2F360d7e8a-d495-404c-9d04-2965a0b5d4ef%2Flaw_minister_anisul_haque.jpeg?rect=0%2C0%2C725%2C483&auto=format%2Ccompress&fmt=webp&format=webp&w=640&dpr=1.0,আনিসুল হক,বাংলাদেশ আওয়ামী লীগ,নীলফামারী-২
https://www.thedailystar.net/sites/default/files/images/2022/08/31/salman-f-rahman-06_1.jpg,সালমান এফ রহমান,বাংলাদেশ আওয়ামী লীগ,নীলফামারী-২
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011000701.jpg,খালিদ মাহ্‌মুদ চৌধুরী,বাংলাদেশ আওয়ামী লীগ,দিনাজপুর-২
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011001201.jpg,মোঃ আফতাব উদ্দিন সরকার,বাংলাদেশ আওয়ামী লীগ,নীলফামারী-১
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011002201.jpg,টিপু মুনশি,বাংলাদেশ আওয়ামী লীগ,রংপুর-৪
https://web.archive.org/web/20240104194355im_/https://www.parliament.gov.bd/mps/011002501.jpg,মোঃ আছলাম হোসেন সওদাগর,বাংলাদেশ আওয়ামী লীগ,কুড়িগ্রাম-১